,match_key,control_idx,treatment_idx,control_text,treatment_text,template,bias_type_index,vals_index,permutation_index,treatment_answer,control_answer,treatment_prob,control_prob,target_position
0,"(1, 1, 1, 1, 1, 1)",0,0,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",1,1,1,1,target,better_expected_value,-0.21172578632831573,-0.30735743045806885,Option B (second)
3,"(1, 1, 1, 1, 1, 2)",3,3,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - $2500 with a 33% chance, $0 with a 67% chance.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,1,2,target,better_expected_value,-0.8871822357177734,-0.5739141702651978,Option A (first)
5,"(1, 1, 1, 1, 2, 1)",6,8,"Choose between:
Option A - 33% to win $2500, 67% to win $0.
Option B - 34% to win $2400, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - 33% to win $2500, 66% to win $2400, 1% to win $0.
Option B - $2400 for sure.
What is your choice?
Answer:",1,1,1,1,target,better_expected_value,-0.43811213970184326,-0.20163123309612274,Option B (second)
6,"(1, 1, 1, 1, 2, 2)",5,7,"Choose between:
Option A - $2400 with a 34% chance, $0 with a 66% chance.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 with certainty.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",1,1,1,2,target,better_expected_value,-0.45927369594573975,-0.24391768872737885,Option A (first)
7,"(1, 1, 1, 1, 2, 2)",7,9,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",1,1,1,2,target,better_expected_value,-0.9837876558303833,-0.5760915875434875,Option A (first)
10,"(1, 1, 2, 1, 1, 2)",9,13,"Choose between:
Option A - $2500 with a 35% chance, $0 with a 65% chance.
Option B - $3000 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with certainty.
Option B - $3000 with a 34% chance, $2500 with a 65% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,2,2,target,better_expected_value,-0.31649574637413025,-0.3487418591976166,Option A (first)
12,"(1, 1, 2, 1, 2, 1)",12,18,"Choose between:
Option A - 34% to win $3000, 66% to win $0.
Option B - $2500 with a 35% chance, $0 with a 65% chance.
What is your choice?
Answer:","Choose between:
Option A - 34% to win $3000, 65% to win $2500, 1% to win $0.
Option B - $2500 with certainty.
What is your choice?
Answer:",1,1,2,1,target,better_expected_value,-0.7669304013252258,-0.5085538029670715,Option B (second)
14,"(1, 1, 2, 1, 2, 2)",13,19,"Choose between:
Option A - $2500 with a 35% chance, $0 with a 65% chance.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 with certainty.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",1,1,2,2,target,better_expected_value,-0.03813023492693901,-0.225582554936409,Option A (first)
15,"(1, 1, 2, 1, 2, 2)",15,21,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",1,1,2,2,target,better_expected_value,-0.5415599942207336,-0.38702717423439026,Option A (first)
20,"(1, 1, 3, 1, 2, 1)",20,30,"Choose between:
Option A - 35% to win $3500, 65% to win $0.
Option B - $2600 with a 36% chance, $0 with a 64% chance.
What is your choice?
Answer:","Choose between:
Option A - 35% to win $3500, 64% to win $2600, 1% to win $0.
Option B - $2600 with certainty.
What is your choice?
Answer:",1,1,3,1,target,better_expected_value,-0.10025101155042648,-0.5508265495300293,Option B (second)
23,"(1, 1, 3, 1, 2, 2)",23,33,"Choose between:
Option A - 36% to win $2600, 64% to win $0.
Option B - 35% to win $3500, 65% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2600 for sure.
Option B - 35% to win $3500, 64% to win $2600, 1% to win $0.
What is your choice?
Answer:",1,1,3,2,target,better_expected_value,-0.7119101285934448,-0.40103328227996826,Option A (first)
24,"(1, 1, 4, 1, 1, 1)",24,36,"Choose between:
Option A - $1000 with a 20% chance, $0 with a 80% chance.
Option B - $800 with a 21% chance, $0 with a 79% chance.
What is your choice?
Answer:","Choose between:
Option A - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
Option B - $800 with certainty.
What is your choice?
Answer:",1,1,4,1,target,better_expected_value,-0.5550523996353149,-0.27447769045829773,Option B (second)
27,"(1, 1, 4, 1, 1, 2)",27,39,"Choose between:
Option A - 21% to win $800, 79% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $800 for sure.
Option B - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,4,2,target,better_expected_value,-0.6468160152435303,-0.40041282773017883,Option A (first)
38,"(1, 1, 5, 1, 2, 2)",37,55,"Choose between:
Option A - $850 with a 26% chance, $0 with a 74% chance.
Option B - 25% to win $1000, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $850 with certainty.
Option B - 25% to win $1000, 74% to win $850, 1% to win $0.
What is your choice?
Answer:",1,1,5,2,target,better_expected_value,-0.47840964794158936,-0.33715489506721497,Option A (first)
41,"(1, 1, 6, 1, 1, 1)",42,62,"Choose between:
Option A - $1500 with a 25% chance, $0 with a 75% chance.
Option B - 26% to win $1300, 74% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $1500 with a 25% chance, $1300 with a 74% chance, $0 with a 1% chance.
Option B - $1300 for sure.
What is your choice?
Answer:",1,1,6,1,target,better_expected_value,-0.3133649230003357,-0.28436577320098877,Option B (second)
43,"(1, 1, 6, 1, 1, 2)",43,63,"Choose between:
Option A - 26% to win $1300, 74% to win $0.
Option B - $1500 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $1300 for sure.
Option B - $1500 with a 25% chance, $1300 with a 74% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,6,2,target,better_expected_value,-0.29638516902923584,-0.2521906793117523,Option A (first)
46,"(1, 1, 6, 1, 2, 2)",45,67,"Choose between:
Option A - $1300 with a 26% chance, $0 with a 74% chance.
Option B - 25% to win $1500, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $1300 with certainty.
Option B - 25% to win $1500, 74% to win $1300, 1% to win $0.
What is your choice?
Answer:",1,1,6,2,target,better_expected_value,-0.589932918548584,-0.4243942201137543,Option A (first)
47,"(1, 1, 6, 1, 2, 2)",47,69,"Choose between:
Option A - 26% to win $1300, 74% to win $0.
Option B - 25% to win $1500, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $1300 for sure.
Option B - 25% to win $1500, 74% to win $1300, 1% to win $0.
What is your choice?
Answer:",1,1,6,2,target,better_expected_value,-0.27828729152679443,-0.5202299952507019,Option A (first)
51,"(1, 1, 7, 1, 1, 2)",51,75,"Choose between:
Option A - 26% to win $4800, 74% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $4800 for sure.
Option B - $5000 with a 25% chance, $4800 with a 74% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,7,2,target,better_expected_value,-0.23108313977718353,-0.47430261969566345,Option A (first)
52,"(1, 1, 7, 1, 2, 1)",52,78,"Choose between:
Option A - 25% to win $5000, 75% to win $0.
Option B - $4800 with a 26% chance, $0 with a 74% chance.
What is your choice?
Answer:","Choose between:
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 with certainty.
What is your choice?
Answer:",1,1,7,1,target,better_expected_value,-0.6327077746391296,-0.5760915875434875,Option B (second)
53,"(1, 1, 7, 1, 2, 1)",54,80,"Choose between:
Option A - 25% to win $5000, 75% to win $0.
Option B - 26% to win $4800, 74% to win $0.
What is your choice?
Answer:","Choose between:
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 for sure.
What is your choice?
Answer:",1,1,7,1,target,better_expected_value,-0.7806206345558167,-0.9140743017196655,Option B (second)
55,"(1, 1, 7, 1, 2, 2)",55,81,"Choose between:
Option A - 26% to win $4800, 74% to win $0.
Option B - 25% to win $5000, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $4800 for sure.
Option B - 25% to win $5000, 74% to win $4800, 1% to win $0.
What is your choice?
Answer:",1,1,7,2,target,better_expected_value,-0.2789478003978729,-0.07903096824884415,Option A (first)
56,"(1, 2, 1, 1, 1, 1)",56,84,"Choose between:
Option A - $4000 with a 20% chance, $0 with a 80% chance.
Option B - $3000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $4000 with a 80% chance, $0 with a 20% chance.
Option B - $3000 with certainty.
What is your choice?
Answer:",1,2,1,1,target,better_expected_value,-0.17997081577777863,-0.5519697666168213,Option B (second)
59,"(1, 2, 1, 1, 1, 2)",59,87,"Choose between:
Option A - 25% to win $3000, 75% to win $0.
Option B - $4000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $3000 for sure.
Option B - $4000 with a 80% chance, $0 with a 20% chance.
What is your choice?
Answer:",1,2,1,2,target,better_expected_value,-0.44036898016929626,-0.5760211944580078,Option A (first)
63,"(1, 2, 1, 1, 2, 2)",63,93,"Choose between:
Option A - 25% to win $3000, 75% to win $0.
Option B - 20% to win $4000, 80% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $3000 for sure.
Option B - 80% to win $4000, 20% to win $0.
What is your choice?
Answer:",1,2,1,2,target,better_expected_value,-1.0709458589553833,-0.2521906793117523,Option A (first)
64,"(1, 2, 2, 1, 1, 1)",64,96,"Choose between:
Option A - $5000 with a 20% chance, $0 with a 80% chance.
Option B - $3000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $5000 with a 80% chance, $0 with a 20% chance.
Option B - $3000 with certainty.
What is your choice?
Answer:",1,2,2,1,target,better_expected_value,-0.11302220821380615,-0.64512038230896,Option B (second)
67,"(1, 2, 2, 1, 1, 2)",67,99,"Choose between:
Option A - 25% to win $3000, 75% to win $0.
Option B - $5000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $3000 for sure.
Option B - $5000 with a 80% chance, $0 with a 20% chance.
What is your choice?
Answer:",1,2,2,2,target,better_expected_value,-0.5134514570236206,-0.3869609534740448,Option A (first)
68,"(1, 2, 2, 1, 2, 1)",68,102,"Choose between:
Option A - 20% to win $5000, 80% to win $0.
Option B - $3000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - 80% to win $5000, 20% to win $0.
Option B - $3000 with certainty.
What is your choice?
Answer:",1,2,2,1,target,better_expected_value,-0.5249699950218201,-0.6937280297279358,Option B (second)
72,"(1, 2, 3, 1, 1, 1)",72,108,"Choose between:
Option A - $6000 with a 20% chance, $0 with a 80% chance.
Option B - $4000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $6000 with a 80% chance, $0 with a 20% chance.
Option B - $4000 with certainty.
What is your choice?
Answer:",1,2,3,1,target,better_expected_value,-0.12712615728378296,-0.6518409252166748,Option B (second)
75,"(1, 2, 3, 1, 1, 2)",75,111,"Choose between:
Option A - 25% to win $4000, 75% to win $0.
Option B - $6000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $4000 for sure.
Option B - $6000 with a 80% chance, $0 with a 20% chance.
What is your choice?
Answer:",1,2,3,2,target,better_expected_value,-0.37692323327064514,-0.9094723463058472,Option A (first)
80,"(1, 2, 4, 1, 1, 1)",80,120,"Choose between:
Option A - $5000 with a 25% chance, $0 with a 75% chance.
Option B - $4000 with a 30% chance, $0 with a 70% chance.
What is your choice?
Answer:","Choose between:
Option A - $5000 with a 85% chance, $0 with a 15% chance.
Option B - $4000 with certainty.
What is your choice?
Answer:",1,2,4,1,target,better_expected_value,-0.2520442008972168,-0.6272072196006775,Option B (second)
83,"(1, 2, 4, 1, 1, 2)",83,123,"Choose between:
Option A - 30% to win $4000, 70% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $4000 for sure.
Option B - $5000 with a 85% chance, $0 with a 15% chance.
What is your choice?
Answer:",1,2,4,2,target,better_expected_value,-0.41906115412712097,-0.42886772751808167,Option A (first)
87,"(1, 2, 4, 1, 2, 2)",87,129,"Choose between:
Option A - 30% to win $4000, 70% to win $0.
Option B - 25% to win $5000, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $4000 for sure.
Option B - 85% to win $5000, 15% to win $0.
What is your choice?
Answer:",1,2,4,2,target,better_expected_value,-0.9176244139671326,-0.10091690719127655,Option A (first)
88,"(1, 2, 5, 1, 1, 1)",88,132,"Choose between:
Option A - $6000 with a 30% chance, $0 with a 70% chance.
Option B - $5000 with a 35% chance, $0 with a 65% chance.
What is your choice?
Answer:","Choose between:
Option A - $6000 with a 85% chance, $0 with a 15% chance.
Option B - $5000 with certainty.
What is your choice?
Answer:",1,2,5,1,target,better_expected_value,-0.07905994355678558,-0.5518767833709717,Option B (second)
91,"(1, 2, 5, 1, 1, 2)",91,135,"Choose between:
Option A - 35% to win $5000, 65% to win $0.
Option B - $6000 with a 30% chance, $0 with a 70% chance.
What is your choice?
Answer:","Choose between:
Option A - $5000 for sure.
Option B - $6000 with a 85% chance, $0 with a 15% chance.
What is your choice?
Answer:",1,2,5,2,target,better_expected_value,-0.46496856212615967,-0.47430700063705444,Option A (first)
92,"(1, 2, 5, 1, 2, 1)",92,138,"Choose between:
Option A - 30% to win $6000, 70% to win $0.
Option B - $5000 with a 35% chance, $0 with a 65% chance.
What is your choice?
Answer:","Choose between:
Option A - 85% to win $6000, 15% to win $0.
Option B - $5000 with certainty.
What is your choice?
Answer:",1,2,5,1,target,better_expected_value,-1.0690854787826538,-0.523369312286377,Option B (second)
93,"(1, 2, 5, 1, 2, 1)",94,140,"Choose between:
Option A - 30% to win $6000, 70% to win $0.
Option B - 35% to win $5000, 65% to win $0.
What is your choice?
Answer:","Choose between:
Option A - 85% to win $6000, 15% to win $0.
Option B - $5000 for sure.
What is your choice?
Answer:",1,2,5,1,target,better_expected_value,-0.8804168105125427,-0.47574108839035034,Option B (second)
95,"(1, 2, 5, 1, 2, 2)",95,141,"Choose between:
Option A - 35% to win $5000, 65% to win $0.
Option B - 30% to win $6000, 70% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $5000 for sure.
Option B - 85% to win $6000, 15% to win $0.
What is your choice?
Answer:",1,2,5,2,target,better_expected_value,-1.1704822778701782,-0.18009069561958313,Option A (first)
96,"(1, 2, 6, 1, 1, 1)",96,144,"Choose between:
Option A - $3000 with a 20% chance, $0 with a 80% chance.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $3000 with a 70% chance, $0 with a 30% chance.
Option B - $2000 with certainty.
What is your choice?
Answer:",1,2,6,1,target,better_expected_value,-0.04309765622019768,-0.7345656752586365,Option B (second)
99,"(1, 2, 6, 1, 1, 2)",99,147,"Choose between:
Option A - 25% to win $2000, 75% to win $0.
Option B - $3000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $2000 for sure.
Option B - $3000 with a 70% chance, $0 with a 30% chance.
What is your choice?
Answer:",1,2,6,2,target,better_expected_value,-0.3980744779109955,-0.6326816082000732,Option A (first)
100,"(1, 2, 6, 1, 2, 1)",100,150,"Choose between:
Option A - 20% to win $3000, 80% to win $0.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - 70% to win $3000, 30% to win $0.
Option B - $2000 with certainty.
What is your choice?
Answer:",1,2,6,1,target,better_expected_value,-0.5767763257026672,-0.5235171318054199,Option B (second)
103,"(1, 2, 6, 1, 2, 2)",103,153,"Choose between:
Option A - 25% to win $2000, 75% to win $0.
Option B - 20% to win $3000, 80% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2000 for sure.
Option B - 70% to win $3000, 30% to win $0.
What is your choice?
Answer:",1,2,6,2,target,better_expected_value,-1.0132189989089966,-0.1799047887325287,Option A (first)
104,"(1, 2, 7, 1, 1, 1)",104,156,"Choose between:
Option A - $2000 with a 15% chance, $0 with a 85% chance.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $2000 with a 60% chance, $0 with a 40% chance.
Option B - $1000 with certainty.
What is your choice?
Answer:",1,2,7,1,target,better_expected_value,-0.10064810514450073,-0.616568922996521,Option B (second)
108,"(1, 2, 7, 1, 2, 1)",108,162,"Choose between:
Option A - 15% to win $2000, 85% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 with certainty.
What is your choice?
Answer:",1,2,7,1,target,better_expected_value,-0.11354952305555344,-0.6328210830688477,Option B (second)
109,"(1, 2, 7, 1, 2, 1)",110,164,"Choose between:
Option A - 15% to win $2000, 85% to win $0.
Option B - 20% to win $1000, 80% to win $0.
What is your choice?
Answer:","Choose between:
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 for sure.
What is your choice?
Answer:",1,2,7,1,target,better_expected_value,-0.738570511341095,-0.8729603290557861,Option B (second)
112,"(2, 1, 1, 1, 1, 1)",112,168,"Below you will find two options for getting a prize.
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,1,1,target,better_expected_value,-0.2811974585056305,-0.27447769045829773,Option B (second)
115,"(2, 1, 1, 1, 1, 2)",115,171,"Below you will find two options for getting a prize.
Option A - 34% to win $2400, 66% to win $0.
Option B - $2500 with a 33% chance, $0 with a 67% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $2400 for sure.
Option B - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Given that these are the only options, which one would you choose?
Answer:",2,1,1,2,target,better_expected_value,-0.3936914801597595,-0.8202126622200012,Option A (first)
116,"(2, 1, 1, 1, 2, 1)",116,174,"Below you will find two options for getting a prize.
Option A - 33% to win $2500, 67% to win $0.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 33% to win $2500, 66% to win $2400, 1% to win $0.
Option B - $2400 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,1,1,target,better_expected_value,-0.9931837916374207,-0.9781692624092102,Option B (second)
117,"(2, 1, 1, 1, 2, 1)",118,176,"Below you will find two options for getting a prize.
Option A - 33% to win $2500, 67% to win $0.
Option B - 34% to win $2400, 66% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 33% to win $2500, 66% to win $2400, 1% to win $0.
Option B - $2400 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,1,1,1,target,better_expected_value,-0.9057163596153259,-0.459250271320343,Option B (second)
120,"(2, 1, 2, 1, 1, 1)",120,180,"Below you will find two options for getting a prize.
Option A - $3000 with a 34% chance, $0 with a 66% chance.
Option B - $2500 with a 35% chance, $0 with a 65% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $3000 with a 34% chance, $2500 with a 65% chance, $0 with a 1% chance.
Option B - $2500 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,2,1,target,better_expected_value,-0.3133152425289154,-0.33334898948669434,Option B (second)
124,"(2, 1, 2, 1, 2, 1)",124,186,"Below you will find two options for getting a prize.
Option A - 34% to win $3000, 66% to win $0.
Option B - $2500 with a 35% chance, $0 with a 65% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 34% to win $3000, 65% to win $2500, 1% to win $0.
Option B - $2500 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,2,1,target,better_expected_value,-0.03813023492693901,-0.9008004069328308,Option B (second)
125,"(2, 1, 2, 1, 2, 1)",126,188,"Below you will find two options for getting a prize.
Option A - 34% to win $3000, 66% to win $0.
Option B - 35% to win $2500, 65% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 34% to win $3000, 65% to win $2500, 1% to win $0.
Option B - $2500 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,1,2,1,target,better_expected_value,-0.7472242712974548,-0.39387574791908264,Option B (second)
139,"(2, 1, 4, 1, 1, 2)",139,207,"Below you will find two options for getting a prize.
Option A - 21% to win $800, 79% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $800 for sure.
Option B - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
Given that these are the only options, which one would you choose?
Answer:",2,1,4,2,target,better_expected_value,-0.22340358793735504,-0.7822535037994385,Option A (first)
140,"(2, 1, 4, 1, 2, 1)",140,210,"Below you will find two options for getting a prize.
Option A - 20% to win $1000, 80% to win $0.
Option B - $800 with a 21% chance, $0 with a 79% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 20% to win $1000, 79% to win $800, 1% to win $0.
Option B - $800 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,4,1,target,better_expected_value,-0.31976911425590515,-0.5739141702651978,Option B (second)
141,"(2, 1, 4, 1, 2, 1)",142,212,"Below you will find two options for getting a prize.
Option A - 20% to win $1000, 80% to win $0.
Option B - 21% to win $800, 79% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 20% to win $1000, 79% to win $800, 1% to win $0.
Option B - $800 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,1,4,1,target,better_expected_value,-0.3177854120731354,-0.40041282773017883,Option B (second)
144,"(2, 1, 5, 1, 1, 1)",144,216,"Below you will find two options for getting a prize.
Option A - $1000 with a 25% chance, $0 with a 75% chance.
Option B - $850 with a 26% chance, $0 with a 74% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Option B - $850 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,1,target,better_expected_value,-0.6326246857643127,-0.25237250328063965,Option B (second)
147,"(2, 1, 5, 1, 1, 2)",147,219,"Below you will find two options for getting a prize.
Option A - 26% to win $850, 74% to win $0.
Option B - $1000 with a 25% chance, $0 with a 75% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $850 for sure.
Option B - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,2,target,better_expected_value,-0.2377854585647583,-0.5733300447463989,Option A (first)
148,"(2, 1, 5, 1, 2, 1)",148,222,"Below you will find two options for getting a prize.
Option A - 25% to win $1000, 75% to win $0.
Option B - $850 with a 26% chance, $0 with a 74% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 25% to win $1000, 74% to win $850, 1% to win $0.
Option B - $850 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,1,target,better_expected_value,-0.5330697894096375,-0.8585424423217773,Option B (second)
149,"(2, 1, 5, 1, 2, 1)",150,224,"Below you will find two options for getting a prize.
Option A - 25% to win $1000, 75% to win $0.
Option B - 26% to win $850, 74% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 25% to win $1000, 74% to win $850, 1% to win $0.
Option B - $850 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,1,target,better_expected_value,-0.3364568054676056,-0.5202299952507019,Option B (second)
151,"(2, 1, 5, 1, 2, 2)",151,225,"Below you will find two options for getting a prize.
Option A - 26% to win $850, 74% to win $0.
Option B - 25% to win $1000, 75% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $850 for sure.
Option B - 25% to win $1000, 74% to win $850, 1% to win $0.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,2,target,better_expected_value,-0.21775346994400024,-0.6277261972427368,Option A (first)
152,"(2, 1, 6, 1, 1, 1)",152,228,"Below you will find two options for getting a prize.
Option A - $1500 with a 25% chance, $0 with a 75% chance.
Option B - $1300 with a 26% chance, $0 with a 74% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $1500 with a 25% chance, $1300 with a 74% chance, $0 with a 1% chance.
Option B - $1300 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,6,1,target,better_expected_value,-0.029773328453302383,-0.31089285016059875,Option B (second)
