,index,match_key,control_idx,treatment_idx,control_text,treatment_text,template,bias_type_index,vals_index,permutation_index,treatment_answer,control_answer,treatment_prob,control_prob,target_position,control_resp,treatment_resp,control_resp_full,treatment_resp_full,control_resp_eq_treatment_resp
78,196,"(2, 2, 4, 1, 2, 1)",196,294,"Below you will find two options for getting a prize.
Option A - 25% to win $5000, 75% to win $0.
Option B - $4000 with a 30% chance, $0 with a 70% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 85% to win $5000, 15% to win $0.
Option B - $4000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,4,1,target,better_expected_value,-0.3860438764095306,-0.8887878656387329,Option B (second),A,B,A,B,False
79,197,"(2, 2, 4, 1, 2, 1)",198,296,"Below you will find two options for getting a prize.
Option A - 25% to win $5000, 75% to win $0.
Option B - 30% to win $4000, 70% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 85% to win $5000, 15% to win $0.
Option B - $4000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,4,1,target,better_expected_value,-0.3440129160881042,-0.3584454655647278,Option B (second),A,B,A,B,False
80,203,"(2, 2, 5, 1, 1, 2)",203,303,"Below you will find two options for getting a prize.
Option A - 35% to win $5000, 65% to win $0.
Option B - $6000 with a 30% chance, $0 with a 70% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $5000 for sure.
Option B - $6000 with a 85% chance, $0 with a 15% chance.
Given that these are the only options, which one would you choose?
Answer:",2,2,5,2,target,better_expected_value,-0.4493250846862793,-0.7186272740364075,Option A (first),B,A,B,A,False
81,204,"(2, 2, 5, 1, 2, 1)",204,306,"Below you will find two options for getting a prize.
Option A - 30% to win $6000, 70% to win $0.
Option B - $5000 with a 35% chance, $0 with a 65% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 85% to win $6000, 15% to win $0.
Option B - $5000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,5,1,target,better_expected_value,-0.3831700086593628,-0.7939847707748413,Option B (second),A,B,A,B,False
82,205,"(2, 2, 5, 1, 2, 1)",206,308,"Below you will find two options for getting a prize.
Option A - 30% to win $6000, 70% to win $0.
Option B - 35% to win $5000, 65% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 85% to win $6000, 15% to win $0.
Option B - $5000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,5,1,target,better_expected_value,-0.2811729609966278,-0.3932754099369049,Option B (second),A,B,A,B,False
83,211,"(2, 2, 6, 1, 1, 2)",211,315,"Below you will find two options for getting a prize.
Option A - 25% to win $2000, 75% to win $0.
Option B - $3000 with a 20% chance, $0 with a 80% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $2000 for sure.
Option B - $3000 with a 70% chance, $0 with a 30% chance.
Given that these are the only options, which one would you choose?
Answer:",2,2,6,2,target,better_expected_value,-0.3743786215782165,-0.6656611561775208,Option A (first),B,A,B,A,False
84,212,"(2, 2, 6, 1, 2, 1)",212,318,"Below you will find two options for getting a prize.
Option A - 20% to win $3000, 80% to win $0.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 70% to win $3000, 30% to win $0.
Option B - $2000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,6,1,target,better_expected_value,-0.3000307083129883,-0.7783128619194031,Option B (second),A,B,A,B,False
85,213,"(2, 2, 6, 1, 2, 1)",214,320,"Below you will find two options for getting a prize.
Option A - 20% to win $3000, 80% to win $0.
Option B - 25% to win $2000, 75% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 70% to win $3000, 30% to win $0.
Option B - $2000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,6,1,target,better_expected_value,-0.2482703924179077,-0.4010332822799682,Option B (second),A,B,A,B,False
86,220,"(2, 2, 7, 1, 2, 1)",220,330,"Below you will find two options for getting a prize.
Option A - 15% to win $2000, 85% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,7,1,target,better_expected_value,-0.3135581016540527,-0.7422600388526917,Option B (second),A,B,A,B,False
87,221,"(2, 2, 7, 1, 2, 1)",222,332,"Below you will find two options for getting a prize.
Option A - 15% to win $2000, 85% to win $0.
Option B - 20% to win $1000, 80% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,7,1,target,better_expected_value,-0.2441476285457611,-0.3523596525192261,Option B (second),A,B,A,B,False
88,231,"(3, 1, 1, 1, 2, 2)",231,345,"Which of the following would you prefer?
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
Answer:","Which of the following would you prefer?
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
Answer:",3,1,1,2,target,better_expected_value,-0.0658067911863327,-0.3923795223236084,Option A (first),B,A,B,A,False
89,239,"(3, 1, 2, 1, 2, 2)",239,357,"Which of the following would you prefer?
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
Answer:","Which of the following would you prefer?
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
Answer:",3,1,2,2,target,better_expected_value,-0.4991630613803863,-0.5253763794898987,Option A (first),B,A,B,A,False
90,243,"(3, 1, 3, 1, 1, 2)",243,363,"Which of the following would you prefer?
Option A - 36% to win $2600, 64% to win $0.
Option B - $3500 with a 35% chance, $0 with a 65% chance.
Answer:","Which of the following would you prefer?
Option A - $2600 for sure.
Option B - $3500 with a 35% chance, $2600 with a 64% chance, $0 with a 1% chance.
Answer:",3,1,3,2,target,better_expected_value,-0.0305161569267511,-0.7285224795341492,Option A (first),A,A,A,A,True
91,248,"(3, 1, 4, 1, 1, 1)",248,372,"Which of the following would you prefer?
Option A - $1000 with a 20% chance, $0 with a 80% chance.
Option B - $800 with a 21% chance, $0 with a 79% chance.
Answer:","Which of the following would you prefer?
Option A - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
Option B - $800 with certainty.
Answer:",3,1,4,1,target,better_expected_value,-0.5504828095436096,-0.1868719756603241,Option B (second),A,B,A,B,False
92,251,"(3, 1, 4, 1, 1, 2)",251,375,"Which of the following would you prefer?
Option A - 21% to win $800, 79% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $800 for sure.
Option B - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
Answer:",3,1,4,2,target,better_expected_value,-0.0528246387839317,-0.5690674781799316,Option A (first),B,A,B,A,False
93,252,"(3, 1, 4, 1, 2, 1)",252,378,"Which of the following would you prefer?
Option A - 20% to win $1000, 80% to win $0.
Option B - $800 with a 21% chance, $0 with a 79% chance.
Answer:","Which of the following would you prefer?
Option A - 20% to win $1000, 79% to win $800, 1% to win $0.
Option B - $800 with certainty.
Answer:",3,1,4,1,target,better_expected_value,-0.5161202549934387,-0.3946027159690857,Option B (second),A,B,A,B,False
94,253,"(3, 1, 4, 1, 2, 1)",254,380,"Which of the following would you prefer?
Option A - 20% to win $1000, 80% to win $0.
Option B - 21% to win $800, 79% to win $0.
Answer:","Which of the following would you prefer?
Option A - 20% to win $1000, 79% to win $800, 1% to win $0.
Option B - $800 for sure.
Answer:",3,1,4,1,target,better_expected_value,-0.6718047261238098,-0.2508747279644012,Option B (second),A,B,A,B,False
95,255,"(3, 1, 4, 1, 2, 2)",255,381,"Which of the following would you prefer?
Option A - 21% to win $800, 79% to win $0.
Option B - 20% to win $1000, 80% to win $0.
Answer:","Which of the following would you prefer?
Option A - $800 for sure.
Option B - 20% to win $1000, 79% to win $800, 1% to win $0.
Answer:",3,1,4,2,target,better_expected_value,-0.1513763070106506,-0.5051554441452026,Option A (first),B,A,B,A,False
96,256,"(3, 1, 5, 1, 1, 1)",256,384,"Which of the following would you prefer?
Option A - $1000 with a 25% chance, $0 with a 75% chance.
Option B - $850 with a 26% chance, $0 with a 74% chance.
Answer:","Which of the following would you prefer?
Option A - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Option B - $850 with certainty.
Answer:",3,1,5,1,target,better_expected_value,-0.4956597685813904,-0.2323537468910217,Option B (second),A,B,A,B,False
97,258,"(3, 1, 5, 1, 1, 2)",257,385,"Which of the following would you prefer?
Option A - $850 with a 26% chance, $0 with a 74% chance.
Option B - $1000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $850 with certainty.
Option B - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Answer:",3,1,5,2,target,better_expected_value,-0.0983364582061767,-0.6956109404563904,Option A (first),B,A,B,A,False
98,259,"(3, 1, 5, 1, 1, 2)",259,387,"Which of the following would you prefer?
Option A - 26% to win $850, 74% to win $0.
Option B - $1000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $850 for sure.
Option B - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Answer:",3,1,5,2,target,better_expected_value,-0.0812006816267967,-0.7486781477928162,Option A (first),B,A,B,A,False
99,260,"(3, 1, 5, 1, 2, 1)",260,390,"Which of the following would you prefer?
Option A - 25% to win $1000, 75% to win $0.
Option B - $850 with a 26% chance, $0 with a 74% chance.
Answer:","Which of the following would you prefer?
Option A - 25% to win $1000, 74% to win $850, 1% to win $0.
Option B - $850 with certainty.
Answer:",3,1,5,1,target,better_expected_value,-0.6888900399208069,-0.5953350067138672,Option B (second),A,A,A,A,True
100,263,"(3, 1, 5, 1, 2, 2)",263,393,"Which of the following would you prefer?
Option A - 26% to win $850, 74% to win $0.
Option B - 25% to win $1000, 75% to win $0.
Answer:","Which of the following would you prefer?
Option A - $850 for sure.
Option B - 25% to win $1000, 74% to win $850, 1% to win $0.
Answer:",3,1,5,2,target,better_expected_value,-0.1520262211561203,-0.4307758808135986,Option A (first),B,A,B,A,False
101,267,"(3, 1, 6, 1, 1, 2)",267,399,"Which of the following would you prefer?
Option A - 26% to win $1300, 74% to win $0.
Option B - $1500 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $1300 for sure.
Option B - $1500 with a 25% chance, $1300 with a 74% chance, $0 with a 1% chance.
Answer:",3,1,6,2,target,better_expected_value,-0.0412161275744438,-0.6540583968162537,Option A (first),B,A,B,A,False
102,271,"(3, 1, 6, 1, 2, 2)",271,405,"Which of the following would you prefer?
Option A - 26% to win $1300, 74% to win $0.
Option B - 25% to win $1500, 75% to win $0.
Answer:","Which of the following would you prefer?
Option A - $1300 for sure.
Option B - 25% to win $1500, 74% to win $1300, 1% to win $0.
Answer:",3,1,6,2,target,better_expected_value,-0.1924751847982406,-0.2272296994924545,Option A (first),B,A,B,A,False
103,275,"(3, 1, 7, 1, 1, 2)",275,411,"Which of the following would you prefer?
Option A - 26% to win $4800, 74% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $4800 for sure.
Option B - $5000 with a 25% chance, $4800 with a 74% chance, $0 with a 1% chance.
Answer:",3,1,7,2,target,better_expected_value,-0.0301372930407524,-0.6051941514015198,Option A (first),B,A,B,A,False
104,276,"(3, 1, 7, 1, 2, 1)",276,414,"Which of the following would you prefer?
Option A - 25% to win $5000, 75% to win $0.
Option B - $4800 with a 26% chance, $0 with a 74% chance.
Answer:","Which of the following would you prefer?
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 with certainty.
Answer:",3,1,7,1,target,better_expected_value,-0.6281809210777283,-0.6968831419944763,Option B (second),A,B,A,B,False
105,277,"(3, 1, 7, 1, 2, 1)",278,416,"Which of the following would you prefer?
Option A - 25% to win $5000, 75% to win $0.
Option B - 26% to win $4800, 74% to win $0.
Answer:","Which of the following would you prefer?
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 for sure.
Answer:",3,1,7,1,target,better_expected_value,-0.6279612183570862,-0.4929402768611908,Option B (second),A,B,A,B,False
106,279,"(3, 1, 7, 1, 2, 2)",279,417,"Which of the following would you prefer?
Option A - 26% to win $4800, 74% to win $0.
Option B - 25% to win $5000, 75% to win $0.
Answer:","Which of the following would you prefer?
Option A - $4800 for sure.
Option B - 25% to win $5000, 74% to win $4800, 1% to win $0.
Answer:",3,1,7,2,target,better_expected_value,-0.1682269722223281,-0.2561278641223907,Option A (first),B,A,B,A,False
107,283,"(3, 2, 1, 1, 1, 2)",283,423,"Which of the following would you prefer?
Option A - 25% to win $3000, 75% to win $0.
Option B - $4000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $3000 for sure.
Option B - $4000 with a 80% chance, $0 with a 20% chance.
Answer:",3,2,1,2,target,better_expected_value,-0.1379638761281967,-0.4539318382740021,Option A (first),B,A,B,A,False
108,291,"(3, 2, 2, 1, 1, 2)",291,435,"Which of the following would you prefer?
Option A - 25% to win $3000, 75% to win $0.
Option B - $5000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $3000 for sure.
Option B - $5000 with a 80% chance, $0 with a 20% chance.
Answer:",3,2,2,2,target,better_expected_value,-0.093609482049942,-0.4783388674259186,Option A (first),B,A,B,A,False
109,295,"(3, 2, 2, 1, 2, 2)",295,441,"Which of the following would you prefer?
Option A - 25% to win $3000, 75% to win $0.
Option B - 20% to win $5000, 80% to win $0.
Answer:","Which of the following would you prefer?
Option A - $3000 for sure.
Option B - 80% to win $5000, 20% to win $0.
Answer:",3,2,2,2,target,better_expected_value,-0.7570182085037231,-0.5508445501327515,Option A (first),B,A,B,A,False
110,299,"(3, 2, 3, 1, 1, 2)",299,447,"Which of the following would you prefer?
Option A - 25% to win $4000, 75% to win $0.
Option B - $6000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $4000 for sure.
Option B - $6000 with a 80% chance, $0 with a 20% chance.
Answer:",3,2,3,2,target,better_expected_value,-0.0987114161252975,-0.3091545104980469,Option A (first),B,A,B,A,False
111,307,"(3, 2, 4, 1, 1, 2)",307,459,"Which of the following would you prefer?
Option A - 30% to win $4000, 70% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $4000 for sure.
Option B - $5000 with a 85% chance, $0 with a 15% chance.
Answer:",3,2,4,2,target,better_expected_value,-0.2592741250991821,-0.4900879263877868,Option A (first),B,A,B,A,False
112,312,"(3, 2, 5, 1, 1, 1)",312,468,"Which of the following would you prefer?
Option A - $6000 with a 30% chance, $0 with a 70% chance.
Option B - $5000 with a 35% chance, $0 with a 65% chance.
Answer:","Which of the following would you prefer?
Option A - $6000 with a 85% chance, $0 with a 15% chance.
Option B - $5000 with certainty.
Answer:",3,2,5,1,target,better_expected_value,-0.5810443162918091,-0.5681986808776855,Option B (second),A,B,A,B,False
113,315,"(3, 2, 5, 1, 1, 2)",315,471,"Which of the following would you prefer?
Option A - 35% to win $5000, 65% to win $0.
Option B - $6000 with a 30% chance, $0 with a 70% chance.
Answer:","Which of the following would you prefer?
Option A - $5000 for sure.
Option B - $6000 with a 85% chance, $0 with a 15% chance.
Answer:",3,2,5,2,target,better_expected_value,-0.2168446630239486,-0.4607242345809936,Option A (first),B,A,B,A,False
114,320,"(3, 2, 6, 1, 1, 1)",320,480,"Which of the following would you prefer?
Option A - $3000 with a 20% chance, $0 with a 80% chance.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $3000 with a 70% chance, $0 with a 30% chance.
Option B - $2000 with certainty.
Answer:",3,2,6,1,target,better_expected_value,-0.4210851788520813,-0.7389980554580688,Option B (second),A,B,A,B,False
115,323,"(3, 2, 6, 1, 1, 2)",323,483,"Which of the following would you prefer?
Option A - 25% to win $2000, 75% to win $0.
Option B - $3000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $2000 for sure.
Option B - $3000 with a 70% chance, $0 with a 30% chance.
Answer:",3,2,6,2,target,better_expected_value,-0.0917304530739784,-0.4438901245594024,Option A (first),B,A,B,A,False
116,324,"(3, 2, 6, 1, 2, 1)",324,486,"Which of the following would you prefer?
Option A - 20% to win $3000, 80% to win $0.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - 70% to win $3000, 30% to win $0.
Option B - $2000 with certainty.
Answer:",3,2,6,1,target,better_expected_value,-0.567919909954071,-0.7074803113937378,Option B (second),A,B,A,B,False
117,327,"(3, 2, 6, 1, 2, 2)",327,489,"Which of the following would you prefer?
Option A - 25% to win $2000, 75% to win $0.
Option B - 20% to win $3000, 80% to win $0.
Answer:","Which of the following would you prefer?
Option A - $2000 for sure.
Option B - 70% to win $3000, 30% to win $0.
Answer:",3,2,6,2,target,better_expected_value,-0.6009042263031006,-0.3073574304580688,Option A (first),B,A,B,A,False
118,328,"(3, 2, 7, 1, 1, 1)",328,492,"Which of the following would you prefer?
Option A - $2000 with a 15% chance, $0 with a 85% chance.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $2000 with a 60% chance, $0 with a 40% chance.
Option B - $1000 with certainty.
Answer:",3,2,7,1,target,better_expected_value,-0.4423896074295044,-0.5729659199714661,Option B (second),A,B,A,B,False
119,333,"(3, 2, 7, 1, 2, 1)",334,500,"Which of the following would you prefer?
Option A - 15% to win $2000, 85% to win $0.
Option B - 20% to win $1000, 80% to win $0.
Answer:","Which of the following would you prefer?
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 for sure.
Answer:",3,2,7,1,target,better_expected_value,-0.3982783555984497,-0.504974901676178,Option B (second),A,B,A,B,False
